Collection Title,"Charles S. Peirce papers, 1787-1951"
Collection Dates,1787-1951 (inclusive)
Collection Creator,"Peirce, Charles S. (Charles Sanders), 1839-1914"
Call Number,MS Am 1632
EAD ID,hou02614
Database Number,Component Title,Component Date,Start Year,End Year,Component Identifier,Container Info,Component Type,Component Creator,Digital Content Link,Access Note,Physical Description,Level 1,Level 2,Level 3,Level 4,Level 5
hou02614c00118,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On Hyperbolic Geometry (Hyp. Geom)   : autograph manuscript, circa 1901",1787-1951,1787,1951,"MS Am 1632, (114)",Box 5,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00119,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On Two Map-Projections of the Lobachevskian Plane  : autograph manuscript, circa 1901",1787-1951,1787,1951,"MS Am 1632, (114a)",Box 5,Unspecified,"","","","",I. Manuscripts,A. Mathematics,"","",""
hou02614c00120,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Newton's Enumeration of Cubic Curves   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (115)",Box 5,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00015,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On the Logic of Quantity (L of Q)   : autograph manuscript, circa 1895",1787-1951,1787,1951,"MS Am 1632, (13)",Box 1,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00121,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Brocardian Geometry   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (116)",Box 5,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00122,"Peirce, Charles S. (Charles Sanders), 1839-1914.  The Non-Euclidean Geometry made Easy   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (117)",Box 5,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00123,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Reflections on Non-Euclidean Geometry   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (118)",Box 5,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00124,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Non-Euclidean Geometry   : autograph manuscript, circa 1883 or later",1787-1951,1787,1951,"MS Am 1632, (119)",Box 5,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00125,"Peirce, Charles S. (Charles Sanders), 1839-1914.  The Elements of Non-Euclidean Geometry. Preface   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (120)",Box 5,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00126,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [On Non-Euclidean Geometry]   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (121)",Box 5,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00127,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Non-Euclidean Geometry. Sketch of a Synthetic Treatment   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (122)",Box 6,Unspecified,"","","",3 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00128,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Lobachevski's Geometry   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (123)",Box 6,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00129,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Formulae   : autograph manuscript  notebook, undated",1787-1951,1787,1951,"MS Am 1632, (124)",Box 6,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00130,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Geometry. Book 1. Projective Geometry   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (125)",Box 6,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00016,"Peirce, Charles S. (Charles Sanders), 1839-1914.  On Quantity, with special reference to Collectional and Mathematical Infinity (Quantity)   : autograph manuscript, circa 1895",1787-1951,1787,1951,"MS Am 1632, (14)",Box 1,Unspecified,"","","",2 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00131,"Peirce, Charles S. (Charles Sanders), 1839-1914.  A Geometrico-Logical Discussion   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (126)",Box 6,Unspecified,"","","",3 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00132,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Fragments on Projective Geometry]   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (127)",Box 6,Unspecified,"","","",4 folder,I. Manuscripts,A. Mathematics,"","",""
hou02614c00133,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Mathematical Notion of Projection]   : amanuensis with corrections in Charles S. Peirce's hand, undated",1787-1951,1787,1951,"MS Am 1632, (128)",Box 6,Unspecified,"","","",1 folder,I. Manuscripts,A. Mathematics,"","",""
