Collection Title,"Charles S. Peirce papers, 1787-1951"
Collection Dates,1787-1951 (inclusive)
Collection Creator,"Peirce, Charles S. (Charles Sanders), 1839-1914"
Call Number,MS Am 1632
EAD ID,hou02614
Database Number,Component Title,Component Date,Start Year,End Year,Component Identifier,Container Info,Component Type,Component Creator,Digital Content Link,Access Note,Physical Description,Level 1,Level 2,Level 3,Level 4,Level 5
hou02614c01400,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Fragments on Classification]   : autograph manuscript, 1892 and undated",1787-1951,1787,1951,"MS Am 1632, (1347)",Box 79,Unspecified,"","","",1 folder,I. Manuscripts,M. Sciences of review,"","",""
hou02614c01389,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Philosophy in the Light of the Logic of Relatives   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (1336)",Box 79,Unspecified,"","","",1 folder,I. Manuscripts,M. Sciences of review,"","",""
hou02614c01390,"Peirce, Charles S. (Charles Sanders), 1839-1914.  History of Science from Copernicus to Newton   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (1337)",Box 79,Unspecified,"","","",1 folder,I. Manuscripts,M. Sciences of review,"","",""
hou02614c01391,"Peirce, Charles S. (Charles Sanders), 1839-1914.  (Monist)   : autograph manuscript, circa 1905-06",1787-1951,1787,1951,"MS Am 1632, (1338)",Box 79,Unspecified,"","","",1 folder,I. Manuscripts,M. Sciences of review,"","",""
hou02614c01392,"Peirce, Charles S. (Charles Sanders), 1839-1914.  A Suggested Classification of the Sciences   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (1339)",Box 79,Unspecified,"","","",1 folder,I. Manuscripts,M. Sciences of review,"","",""
hou02614c01393,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [An Outline of the Classification of the Sciences]   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (1340)",Box 79,Unspecified,"","","",1 folder,I. Manuscripts,M. Sciences of review,"","",""
hou02614c01394,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Chapter I. Of the Classification of the Sciences (I)   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (1341)",Box 79,Unspecified,"","","",1 folder,I. Manuscripts,M. Sciences of review,"","",""
hou02614c01395,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Chapter II. Of the Place of Logic among the Sciences (II)   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (1342)",Box 79,Unspecified,"","","",1 folder,I. Manuscripts,M. Sciences of review,"","",""
hou02614c01396,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Of the Classification of the Sciences. Second Paper. Of the Practical Sciences (Classification of the Sci)   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (1343)",Box 79,Unspecified,"","","",1 folder,I. Manuscripts,M. Sciences of review,"","",""
hou02614c01401,N. Practical science,1787-1951,1787,1951,MS Am 1632,"",Subseries,"","","","",I. Manuscripts,"","","",""
hou02614c01402,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Report on Mr. Woolf's process of Bleaching   : autograph manuscript, 1892 (but at least one is 1894)",1787-1951,1787,1951,"MS Am 1632, (1348)",Box 80,Unspecified,"","","",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01403,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Explanation of the two Map-Projections suitable for showing the Territory and Possessions of the United States of America   : autograph manuscript, circa late 1911",1787-1951,1787,1951,"MS Am 1632, (1349)",Box 80,Unspecified,"","","",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01412,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Morison's Bridge   : autograph manuscript, August 3, 1898 to March 5, 1899",1787-1951,1787,1951,"MS Am 1632, (1358)",Box 80,Unspecified,"","","",244 pages,I. Manuscripts,N. Practical science,"","",""
hou02614c01413,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Copy of Part of my Report to Morison   : autograph manuscript notebook, undated",1787-1951,1787,1951,"MS Am 1632, (1359)",Box 80,Unspecified,"","","",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01414,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Fragments and Scraps on Morison's Bridge Project]   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (1360)",Box 81,Unspecified,"","","",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01415,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Characters of the International Telegraphic Code   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (1361)",Box 81,Unspecified,"","","",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01416,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Composite Photographic Process]   : typescript, undated",1787-1951,1787,1951,"MS Am 1632, (1362)",Box 81,Unspecified,"","","",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c02460,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Composite Photographic Process]   : typescript, undated",1787-1951,1787,1951,MS Am 1632,Box 157,Unspecified,"",http://nrs.harvard.edu/urn-3:FHCL.HOUGH:17821102?buttons=y,"","",I. Manuscripts,N. Practical science,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Composite Photographic Process]   : typescript, undated","",""
hou02614c01417,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Description of Electrical Chronometric Device]   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (1363)",Box 81,Unspecified,"",https://nrs.harvard.edu/URN-3:FHCL.HOUGH:105234526,"",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01418,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Recipe for Cologne Water   : autograph manuscript Drafts of Reviews, including some notices and articles, undated",1787-1951,1787,1951,"MS Am 1632, (1364a)",Box 81,Unspecified,"","","",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01419,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Rotational Displacements of Crystallography]   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (1364)",Box 81,Unspecified,"",https://nrs.harvard.edu/URN-3:FHCL.HOUGH:105234535,"",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01404,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Formulae and tables for constructing two different Conformal Map-Projections suitable to the exhibition of all the Territory and Possessions of the United States of America   : autograph manuscript, circa late 1911",1787-1951,1787,1951,"MS Am 1632, (1350)",Box 80,Unspecified,"","","",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01405,"Peirce, Charles S. (Charles Sanders), 1839-1914.  A New Map of the United States and Possessions. Explanations   : autograph manuscript, circa late 1911",1787-1951,1787,1951,"MS Am 1632, (1351)",Box 80,Unspecified,"","","",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01406,"Peirce, Charles S. (Charles Sanders), 1839-1914.  A New Map of the United States and Its Possessions   : autograph manuscript, circa late 1911",1787-1951,1787,1951,"MS Am 1632, (1352)",Box 80,Unspecified,"","","",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01407,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [The Skew Mereator Map] (S M Map)   : autograph manuscript, 1894 and undated",1787-1951,1787,1951,"MS Am 1632, (1353)",Box 80,Unspecified,"","","",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01408,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [Fragment on Map-Projection]   : autograph manuscript, January 7, 1914",1787-1951,1787,1951,"MS Am 1632, (1354)",Box 80,Unspecified,"","","",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01409,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Quincunial Projection   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (1355)",Box 80,Unspecified,"",https://nrs.harvard.edu/URN-3:FHCL.HOUGH:105234517,"",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01410,"Peirce, Charles S. (Charles Sanders), 1839-1914.  [The St. Lawrence River Power Plant Engineering Project]   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (1356)",Box 80,Unspecified,"","","",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01411,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Report on the Effect of a Live Load on Mr. Morison's North River Bridge (Report on Live Loads)   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (1357)",Box 80,Unspecified,"","","",1 folder,I. Manuscripts,N. Practical science,"","",""
hou02614c01420,O. Reviews,1787-1951,1787,1951,MS Am 1632,"",Subseries,"","","","",I. Manuscripts,"","","",""
hou02614c01421,"Peirce, Charles S. (Charles Sanders), 1839-1914.  Articles by C. S. Peirce in the Nation   : autograph manuscript, undated",1787-1951,1787,1951,"MS Am 1632, (1365)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01422,"Peirce, Charles S. (Charles Sanders), 1839-1914.  'GENERAL' manuscript - G-1878-2   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (1366a)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01431,Nation publication - N-1892-1   : Review,1787-1951,1787,1951,"MS Am 1632, (1373)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01521,Nation publication - N-1902-18   : Review,1787-1951,1787,1951,"MS Am 1632, (1458)",Box 83,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01522,Nation publication - N-1902-19   : Review,1787-1951,1787,1951,"MS Am 1632, (1459)",Box 83,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01523,Nation publication - N-1902-20   : Review,1787-1951,1787,1951,"MS Am 1632, (1460)",Box 83,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01524,"Peirce, Charles S. (Charles Sanders), 1839-1914.  GENERAL' manuscript   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (1461)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01525,"Draft of a review of Alexander Bain's Dissertations on Leading Philosophical Topics, 1903   : Review",1787-1951,1787,1951,"MS Am 1632, (1462)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01526,"Peirce, Charles S. (Charles Sanders), 1839-1914.  'GENERAL' manuscript - G-c.1903-6   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (1463)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01527,Nation publication - N-1903-2   : Review,1787-1951,1787,1951,"MS Am 1632, (1464)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01528,Nation publication - N-1903-4   : Review,1787-1951,1787,1951,"MS Am 1632, (1465)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01529,Nation publication - N-1903-6   : Review,1787-1951,1787,1951,"MS Am 1632, (1466)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01530,Nation publication - N-1903-7   : Review,1787-1951,1787,1951,"MS Am 1632, (1467)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01432,Nation publication - N-1892-3   : Review,1787-1951,1787,1951,"MS Am 1632, (1374)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01531,Nation publication - N-1903-9   : Review,1787-1951,1787,1951,"MS Am 1632, (1468)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01532,Nation publication - N-1903-10   : Review,1787-1951,1787,1951,"MS Am 1632, (1469)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01533,Nation publication - N-1903-11   : Review,1787-1951,1787,1951,"MS Am 1632, (1470)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01534,Nation publication - N-1903-13   : Review,1787-1951,1787,1951,"MS Am 1632, (1471)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01535,Nation publication - N-1903-14   : Review,1787-1951,1787,1951,"MS Am 1632, (1472)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01536,Nation publication - N-1903-16   : Review,1787-1951,1787,1951,"MS Am 1632, (1473)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01537,Nation publication - N-1903-17   : Review,1787-1951,1787,1951,"MS Am 1632, (1474)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01538,Nation publication - N-1903-18   : Review,1787-1951,1787,1951,"MS Am 1632, (1475)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01539,"Peirce, Charles S. (Charles Sanders), 1839-1914.  'GENERAL' manuscript - G-c.1904-3   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (1476)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01540,Nation publication - N-1904-2   : Review,1787-1951,1787,1951,"MS Am 1632, (1477)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01433,Nation publication - N-1892-5   : Review,1787-1951,1787,1951,"MS Am 1632, (1375)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01541,Nation publication - N-1904-3   : Review,1787-1951,1787,1951,"MS Am 1632, (1478)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01542,Nation publication - N-1904-4   : Review,1787-1951,1787,1951,"MS Am 1632, (1479)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01543,Nation publication - N-1904-6   : Review,1787-1951,1787,1951,"MS Am 1632, (1480)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01544,"Nation publication - N-1904-9,10   : Review",1787-1951,1787,1951,"MS Am 1632, (1481)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01545,Nation publication - N-1904-11   : Review,1787-1951,1787,1951,"MS Am 1632, (1482)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01546,Nation publication - N-1904-12   : Review,1787-1951,1787,1951,"MS Am 1632, (1483)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01547,Nation publication - N-1904-13   : Review,1787-1951,1787,1951,"MS Am 1632, (1484)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01548,Nation publication - N-1904-15   : Review,1787-1951,1787,1951,"MS Am 1632, (1485)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01549,Nation publication - N-1904-16   : Review,1787-1951,1787,1951,"MS Am 1632, (1486)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01550,Nation publication - N-1904-17   : Review,1787-1951,1787,1951,"MS Am 1632, (1487)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01434,Nation publication - N-1892-11   : Review,1787-1951,1787,1951,"MS Am 1632, (1376)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01551,Nation publication - N-1904-18   : Review,1787-1951,1787,1951,"MS Am 1632, (1488)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01552,Nation publication - N-1904-20   : Review,1787-1951,1787,1951,"MS Am 1632, (1488a)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01553,"Draft of a review of Carveth Read's Metaphysics of Nature, 1905   : Review",1787-1951,1787,1951,"MS Am 1632, (1489)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01554,"Peirce, Charles S. (Charles Sanders), 1839-1914.  'GENERAL' manuscript - G-1905-2   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (1490)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01555,Nation publication - N-1905-5   : Review,1787-1951,1787,1951,"MS Am 1632, (1491)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01556,Nation publication - N-1905-7   : Review,1787-1951,1787,1951,"MS Am 1632, (1492)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01557,Nation publication - N-1905-8   : Review,1787-1951,1787,1951,"MS Am 1632, (1493)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01558,Nation publication - N-1905-13   : Review,1787-1951,1787,1951,"MS Am 1632, (1494)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01559,Nation publication - N-1905-15   : Review,1787-1951,1787,1951,"MS Am 1632, (1495)",Box 84,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01560,Nation publication - N-1905-18   : Review,1787-1951,1787,1951,"MS Am 1632, (1496)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01435,Nation publication - N-1892-12   : Review,1787-1951,1787,1951,"MS Am 1632, (1377)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01561,Nation publication - N-1905-19   : Review,1787-1951,1787,1951,"MS Am 1632, (1497)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01562,Nation publication - N-1905-26   : Review,1787-1951,1787,1951,"MS Am 1632, (1498)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01563,Nation publication - N-1905-28   : Review,1787-1951,1787,1951,"MS Am 1632, (1499)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01564,"Draft of a review of B. Matthew's The Spelling of Yesterday and Tomorrow, 1906   : Review",1787-1951,1787,1951,"MS Am 1632, (1500)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01565,"Draft of a review of E. E. Fournier's Electron Theory, 1906   : Review",1787-1951,1787,1951,"MS Am 1632, (1501)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01566,Nation publication - N-1906-1   : Review,1787-1951,1787,1951,"MS Am 1632, (1502)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01567,Nation publication - N-1906-2   : Review,1787-1951,1787,1951,"MS Am 1632, (1503)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01568,Nation publication - N-1906-3   : Review,1787-1951,1787,1951,"MS Am 1632, (1504)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01569,Nation publication - N-1906-8   : Review,1787-1951,1787,1951,"MS Am 1632, (1505)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01570,Nation publication - N-1906-10   : Review,1787-1951,1787,1951,"MS Am 1632, (1506)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01436,Nation publication - N-1892-16   : Review,1787-1951,1787,1951,"MS Am 1632, (1378)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01571,Nation publication - N-1907-1   : Review,1787-1951,1787,1951,"MS Am 1632, (1507)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01572,Nation publication - N-1907-2   : Review,1787-1951,1787,1951,"MS Am 1632, (1508)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01573,Baldwin's Genetic Logic   : Review,1787-1951,1787,1951,"MS Am 1632, (1509)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01574,"Draft of a review or notice of J. A. Fleming's Recent Contributions to Cluster Wave Theory, 1908   : Review",1787-1951,1787,1951,"MS Am 1632, (1510)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01575,"Draft of a review of James McKeen Cattell's Biographical Directory of American Men of Science, 1910   : Review",1787-1951,1787,1951,"MS Am 1632, (1511)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01576,Partially identified and partially dated fragments of review drafts :   Fragments,1787-1951,1787,1951,"MS Am 1632, (1512)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01577,Partially identifiable fragments of review drafts: 32 pp   : Review,1787-1951,1787,1951,"MS Am 1632, (1513)",Box 85,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01437,Nation publication - N-1892-17   : Review,1787-1951,1787,1951,"MS Am 1632, (1379)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01438,"Drafts of a review of Lester F. Ward's The Psychic Factors of Civilization, 1892   : Review",1787-1951,1787,1951,"MS Am 1632, (1380)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01439,"Draft of a review of Alexander Ziwet's Elementary Treatise on Theoretical Mechanics, 1893   : Review",1787-1951,1787,1951,"MS Am 1632, (1381)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01440,Nation publication - N-1893-3   : Review,1787-1951,1787,1951,"MS Am 1632, (1382)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01423,"Drafts of a review of a work by Dr. Bowditch (possibly his Growth of Children, 1877)   : Review, 1877",1787-1951,1787,1951,"MS Am 1632, (1366)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01441,Nation publication - N-1893-7   : Review,1787-1951,1787,1951,"MS Am 1632, (1383)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01442,Nation publication - N-1893-8   : Review,1787-1951,1787,1951,"MS Am 1632, (1384)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01443,"Draft of a review of Octavo Chanute's Progress in Flying Machines, 1894   : Review",1787-1951,1787,1951,"MS Am 1632, (1385)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01444,"The start of a review of G. T. Ladd's Psychology, 1894   : Review",1787-1951,1787,1951,"MS Am 1632, (1386)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01445,"Draft of a review of Ernest Naville's La definition de la philosophie, 1894   : Review",1787-1951,1787,1951,"MS Am 1632, (1387)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01446,Nation publication - sup (1) N-1894-14-5   : Review,1787-1951,1787,1951,"MS Am 1632, (1388)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01447,Nation publication - N-1894-2   : Review,1787-1951,1787,1951,"MS Am 1632, (1389)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01448,Nation publication - N-1894-3   : Review,1787-1951,1787,1951,"MS Am 1632, (1390)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01449,Nation publication - N-1894-6   : Review,1787-1951,1787,1951,"MS Am 1632, (1391a)",Box 82,Unspecified,"","","","",I. Manuscripts,O. Reviews,"","",""
hou02614c01450,Nation publication - sup (1) N-1894-6.5   : Review,1787-1951,1787,1951,"MS Am 1632, (1391b)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01424,"Draft of a review of John Fiske's The Idea of God as affected by modern knowledge, 1885 : Review",1787-1951,1787,1951,"MS Am 1632, (1367)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01451,Nation publication - N-1894-4   : Review,1787-1951,1787,1951,"MS Am 1632, (1391)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01452,Nation publication - N-1894-7   : Review,1787-1951,1787,1951,"MS Am 1632, (1392)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01453,Nation publication - N-1894-9   : Review,1787-1951,1787,1951,"MS Am 1632, (1393)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01454,Nation publication - N-1894-10   : Review,1787-1951,1787,1951,"MS Am 1632, (1394)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01455,Nation publication - N-1894-12   : Review,1787-1951,1787,1951,"MS Am 1632, (1395)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01456,Nation publication - N-1894-12   : Review,1787-1951,1787,1951,"MS Am 1632, (1396)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01457,Proof (corrected)   :Review,1787-1951,1787,1951,"MS Am 1632, (1397)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01458,Proof (corrected)   :Review,1787-1951,1787,1951,"MS Am 1632, (1398)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01459,Nation publication - sup (1) N-1895-6   : Review,1787-1951,1787,1951,"MS Am 1632, (1399)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01460,"Draft of a review of Paul Sto/oockel, Die Theorie der Parallellismus von Euclid bis auf Gauss, 1895   : Review",1787-1951,1787,1951,"MS Am 1632, (1400)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01425,"Peirce, Charles S. (Charles Sanders), 1839-1914.  'GENERAL' manuscript - G-c.1885-2 (1.35)   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (1368)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01461,"Draft of an obituary for Arthur Cayley, whose death occurred in 1895   : Obituary",1787-1951,1787,1951,"MS Am 1632, (1401)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01462,"Draft of a review of William Hirsch's Genius and Insanity, 1896   : Review",1787-1951,1787,1951,"MS Am 1632, (1402)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01463,Proof (corrected)   :Review,1787-1951,1787,1951,"MS Am 1632, (1403)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01464,"Peirce, Charles S. (Charles Sanders), 1839-1914.  'GENERAL' manuscript - G-1896-2   : autograph manuscript",1787-1951,1787,1951,"MS Am 1632, (1404)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
hou02614c01465,Nation publication - N-1896-1   : Review,1787-1951,1787,1951,"MS Am 1632, (1405)",Box 82,Unspecified,"","","",1 folder,I. Manuscripts,O. Reviews,"","",""
