=== run 00:00:06  284 pages ===
[116/284] ok   transcriptions/R472/IMG_3010.txt
[117/284] ok   transcriptions/R472/IMG_3011.txt
[118/284] ok   transcriptions/R472/IMG_3012.txt
[119/284] ok   transcriptions/R472/IMG_3013.txt
[120/284] ok   transcriptions/R472/IMG_3014.txt
[121/284] ok   transcriptions/R472/IMG_3015.txt
[122/284] ok   transcriptions/R472/IMG_3016.txt
[123/284] ok   transcriptions/R472/IMG_3017.txt
[124/284] ok   transcriptions/R472/IMG_3019.txt
[125/284] ok   transcriptions/R472/IMG_3021.txt
[126/284] ok   transcriptions/R472/IMG_3022.txt
[127/284] ok   transcriptions/R472/IMG_3023.txt
[128/284] ok   transcriptions/R472/IMG_3024.txt
[129/284] ok   transcriptions/R472/IMG_3025.txt
[130/284] ok   transcriptions/R472/IMG_3026.txt
[131/284] ok   transcriptions/R472/IMG_3027.txt
[132/284] ok   transcriptions/R472/IMG_3028.txt
[133/284] ok   transcriptions/R472/IMG_3029.txt
[134/284] ok   transcriptions/R472/IMG_3030.txt
[135/284] ok   transcriptions/R472/IMG_3031.txt
[136/284] ok   transcriptions/R472/IMG_3032.txt
[137/284] ok   transcriptions/R472/IMG_3033.txt
[138/284] ok   transcriptions/R472/IMG_3034.txt
[139/284] ok   transcriptions/R472/IMG_3035.txt
[140/284] ok   transcriptions/R472/IMG_3036.txt
[141/284] ok   transcriptions/R472/IMG_3037.txt
[142/284] ok   transcriptions/R472/IMG_3038.txt
[143/284] ok   transcriptions/R472/IMG_3039.txt
[144/284] ok   transcriptions/R472/IMG_3040.txt
[145/284] ok   transcriptions/R472/IMG_3041.txt
[146/284] ok   transcriptions/R472/IMG_3042.txt
[147/284] ok   transcriptions/R472/IMG_3043.txt
[148/284] ok   transcriptions/R472/IMG_3044.txt
[149/284] ok   transcriptions/R472/IMG_3045.txt
[150/284] ok   transcriptions/R472/IMG_3046.txt
[151/284] ok   transcriptions/R472/IMG_3047.txt
[152/284] ok   transcriptions/R472/IMG_3048.txt
[153/284] ok   transcriptions/R741/IMG_0998.txt
[154/284] ok   transcriptions/R741/IMG_1030.txt
[155/284] ok   transcriptions/R741/IMG_1031.txt
[156/284] ok   transcriptions/R741/IMG_1032.txt
[157/284] ok   transcriptions/R741/IMG_1034.txt
[158/284] ok   transcriptions/R741/IMG_1035.txt
[159/284] ok   transcriptions/R741/IMG_1036.txt
[160/284] ok   transcriptions/R741/IMG_1037.txt
[161/284] ok   transcriptions/R741/IMG_1039.txt
[162/284] ok   transcriptions/R741/IMG_1040.txt
[163/284] ok   transcriptions/R741/IMG_1041.txt
[164/284] ok   transcriptions/R741/IMG_1043.txt
[165/284] ok   transcriptions/R741/IMG_1044.txt
[166/284] ok   transcriptions/R741/IMG_1045.txt
[167/284] ok   transcriptions/R741/IMG_1046.txt
[168/284] ok   transcriptions/R741/IMG_1047.txt
[169/284] ok   transcriptions/R741/IMG_1049.txt
[170/284] ok   transcriptions/R741/IMG_1050.txt
[171/284] ok   transcriptions/R741/IMG_1056.txt
[172/284] ok   transcriptions/R741/IMG_1057.txt
[173/284] ok   transcriptions/R741/IMG_1059.txt
[174/284] ok   transcriptions/R741/IMG_1060.txt
[175/284] ok   transcriptions/R741/IMG_1061.txt
[176/284] ok   transcriptions/R741/IMG_1062.txt
[177/284] ok   transcriptions/R741/IMG_1063.txt
[178/284] ok   transcriptions/R741/IMG_1064.txt
[179/284] ok   transcriptions/R741/IMG_1065.txt
[180/284] ok   transcriptions/R741/IMG_1066.txt
[181/284] ok   transcriptions/R741/IMG_1067.txt
[182/284] ok   transcriptions/R741/IMG_1068.txt
[183/284] ok   transcriptions/R741/IMG_1069.txt
[184/284] ok   transcriptions/R741/IMG_1070.txt
[185/284] ok   transcriptions/R741/IMG_1071.txt
[186/284] ok   transcriptions/R741/IMG_1072.txt
[187/284] ok   transcriptions/R741/IMG_1073.txt
[188/284] ok   transcriptions/R741/IMG_1075.txt
[189/284] ok   transcriptions/R741/IMG_1076.txt
[190/284] ok   transcriptions/R741/IMG_1077.txt
[191/284] ok   transcriptions/R741/IMG_1078.txt
[192/284] ok   transcriptions/R741/IMG_1080.txt
[193/284] ok   transcriptions/R741/IMG_1083.txt
[194/284] ok   transcriptions/R741/IMG_1084.txt
[195/284] ok   transcriptions/R741/IMG_1085.txt
[196/284] ok   transcriptions/R741/IMG_1086.txt
[197/284] ok   transcriptions/R741/IMG_1088.txt
[198/284] ok   transcriptions/R741/IMG_1090.txt
[199/284] ok   transcriptions/R741/IMG_1091.txt
[200/284] ok   transcriptions/R741/IMG_1092.txt
[201/284] ok   transcriptions/R741/IMG_1094.txt
[202/284] ok   transcriptions/R741/IMG_1095.txt
[203/284] ok   transcriptions/R741/IMG_1096.txt
[204/284] ok   transcriptions/R741/IMG_1097.txt
[205/284] ok   transcriptions/R741/IMG_1098.txt
[206/284] ok   transcriptions/R741/IMG_1099.txt
[207/284] ok   transcriptions/R741/IMG_1100.txt
[208/284] ok   transcriptions/R741/IMG_1101.txt
[209/284] ok   transcriptions/R741/IMG_1102.txt
[210/284] ok   transcriptions/R741/IMG_1103.txt
[211/284] ok   transcriptions/R741/IMG_1104.txt
[212/284] ok   transcriptions/R741/IMG_1105.txt
[213/284] ok   transcriptions/R741/IMG_1106.txt
[214/284] ok   transcriptions/R741/IMG_1107.txt
[215/284] ok   transcriptions/R741/IMG_1108.txt
[216/284] ok   transcriptions/R741/IMG_1110.txt
[217/284] ok   transcriptions/R741/IMG_1111.txt
[218/284] ok   transcriptions/R741/IMG_1112.txt
[219/284] ok   transcriptions/R741/IMG_1113.txt
[220/284] ok   transcriptions/R741/IMG_1114.txt
[221/284] ok   transcriptions/R741/IMG_1115.txt
[222/284] ok   transcriptions/R741/IMG_1116.txt
[223/284] ok   transcriptions/R741/IMG_1117.txt
[224/284] ok   transcriptions/R741/IMG_1127.txt
[225/284] ok   transcriptions/R741/IMG_1128.txt
[226/284] ok   transcriptions/R741/IMG_1129.txt
[227/284] ok   transcriptions/R741/IMG_1130.txt
[228/284] ok   transcriptions/R741/IMG_1160.txt
[229/284] ok   transcriptions/R741/IMG_1161.txt
[230/284] ok   transcriptions/R741/IMG_1162.txt
[231/284] ok   transcriptions/R741/IMG_1163.txt
[232/284] ok   transcriptions/R741/IMG_1164.txt
[233/284] ok   transcriptions/R741/IMG_1165.txt
[234/284] ok   transcriptions/R741/IMG_1166.txt
[235/284] ok   transcriptions/R741/IMG_1167.txt
[236/284] ok   transcriptions/R741/IMG_1168.txt
[237/284] ok   transcriptions/R741/IMG_1169.txt
[238/284] ok   transcriptions/R741/IMG_1170.txt
[239/284] ok   transcriptions/R741/IMG_1171.txt
[240/284] ok   transcriptions/R741/IMG_1172.txt
[241/284] ok   transcriptions/R741/IMG_1173.txt
[242/284] ok   transcriptions/R741/IMG_1174.txt
[243/284] ok   transcriptions/R741/IMG_1175.txt
[244/284] ok   transcriptions/R741/IMG_1176.txt
[245/284] ok   transcriptions/R741/IMG_1177.txt
[246/284] ok   transcriptions/R741/IMG_1178.txt
[247/284] ok   transcriptions/R741/IMG_1179.txt
[248/284] ok   transcriptions/R741/IMG_1180.txt
[249/284] ok   transcriptions/R741/IMG_1181.txt
[250/284] ok   transcriptions/R741/IMG_1182.txt
[251/284] ok   transcriptions/R741/IMG_1183.txt
[252/284] ok   transcriptions/R741/IMG_1184.txt
[253/284] ok   transcriptions/R741/IMG_1185.txt
[254/284] ok   transcriptions/R741/IMG_1186.txt
[255/284] ok   transcriptions/R741/IMG_1187.txt
[256/284] ok   transcriptions/R741/IMG_1188.txt
[257/284] ok   transcriptions/R741/IMG_1189.txt
[258/284] ok   transcriptions/R741/IMG_1190.txt
[259/284] ok   transcriptions/R741/IMG_1191.txt
[260/284] ok   transcriptions/R741/IMG_1192.txt
[261/284] ok   transcriptions/R741/IMG_1193.txt
[262/284] ok   transcriptions/R741/IMG_1194.txt
[263/284] ok   transcriptions/R741/IMG_1195.txt
[264/284] ok   transcriptions/R741/IMG_1196.txt
[265/284] ok   transcriptions/R741/IMG_1197.txt
[266/284] ok   transcriptions/R741/IMG_1255.txt
[267/284] ok   transcriptions/R741/IMG_1274.txt
[268/284] ok   transcriptions/R741/IMG_1275.txt
[269/284] ok   transcriptions/R741/IMG_1276.txt
[270/284] ok   transcriptions/R741/IMG_1277.txt
[271/284] ok   transcriptions/R741/IMG_1278.txt
[272/284] ok   transcriptions/R741/IMG_1279.txt
[273/284] ok   transcriptions/R741/IMG_1325.txt
[274/284] ok   transcriptions/R741/IMG_1326.txt
[275/284] ok   transcriptions/R741/IMG_1434.txt
[276/284] ok   transcriptions/R741/IMG_1462.txt
[277/284] ok   transcriptions/R741/IMG_1463.txt
[278/284] ok   transcriptions/R741/IMG_1464.txt
[279/284] ok   transcriptions/R741/IMG_1465.txt
[280/284] ok   transcriptions/R741/IMG_1466.txt
[281/284] ok   transcriptions/R741/IMG_1467.txt
[282/284] ok   transcriptions/R741/IMG_1468.txt
[283/284] ok   transcriptions/R741/IMG_1469.txt
[284/284] ok   transcriptions/R741/IMG_1470.txt
=== DONE 01:50:25: ok=283 fail=0 skip=1 | 284 files ===
